Training	Age	AlphaCri	AlphaAct	Gamma	Neta	Current.Reward	Cum.Reward	Neg.Reward	value	preference	choice	Type_choice	Species_choice	Height_choice	Length_choice	redMain_choice	Type_discard	Species_discard	Height_discard	Length_discard	redMain_discard	
0	1	0.01	0.01	0.8	1	0	0	0	0	0	0	2	NA	0	0	0	2	NA	0	0	0	
0	501	0.01	0.01	0.8	1	0	247	-0.5	0.00128252	-0.012654	0	2	NA	0	0	0	1	Sp1	45.1212	8.58175	65.6995	
0	1001	0.01	0.01	0.8	1	1	503	0	0.00795254	-0.00102461	0	0	Sp2	35.2727	95.68	12.0084	0	Sp2	35.1537	94.7427	14.586	
0	1501	0.01	0.01	0.8	1	1	760	0	0.0704648	-0.0360983	1	0	Sp3	83.7913	50.9972	62.0396	2	NA	0	0	0	
0	2001	0.01	0.01	0.8	1	0	1017	0	0.0285114	0.000780711	1	2	NA	0	0	0	2	NA	0	0	0	
0	2501	0.01	0.01	0.8	1	1	1255	-0.5	0.00526489	0.000581017	1	0	Sp3	85.5682	49.7895	61.5337	1	Sp2	33.6765	45.5425	13.9471	
0	3001	0.01	0.01	0.8	1	0	1509	0	0.0489443	0.00530907	0	2	NA	0	0	0	2	NA	0	0	0	
0	3501	0.01	0.01	0.8	1	1	1760	-0.5	0.00535827	0.000177236	1	0	Sp1	38.9948	83.4795	15.4555	1	Sp2	33.5129	47.2104	14.4768	
0	4001	0.01	0.01	0.8	1	1	2015	0	0.244918	0.139483	0	0	Sp2	34.4429	94.2895	13.5652	2	NA	0	0	0	
0	4501	0.01	0.01	0.8	1	0	2276	0	0.210234	-0.113287	0	2	NA	0	0	0	0	Sp1	36.6234	81.9042	14.4529	
0	5001	0.01	0.01	0.8	1	0	2531	0	0.0914107	0.000756949	1	2	NA	0	0	0	2	NA	0	0	0	
0	5501	0.01	0.01	0.8	1	0	2793	0	0.107334	-0.000688605	1	2	NA	0	0	0	2	NA	0	0	0	
0	6001	0.01	0.01	0.8	1	1	3046	0	0.34487	-0.192826	1	0	Sp2	34.4629	95.1156	14.605	2	NA	0	0	0	
0	6501	0.01	0.01	0.8	1	0	3295	0	0.103879	-0.00738284	1	2	NA	0	0	0	2	NA	0	0	0	
0	7001	0.01	0.01	0.8	1	1	3558	0	0.30448	-0.168725	1	0	Sp3	86.5936	51.1077	61.4151	2	NA	0	0	0	
0	7501	0.01	0.01	0.8	1	1	3822	0	0.334401	-0.186699	1	0	Sp3	85.92	51.1292	62.1504	2	NA	0	0	0	
0	8001	0.01	0.01	0.8	1	0	4063	0	0.397965	-0.23629	0	2	NA	0	0	0	0	Sp2	35.1885	94.3435	13.108	
0	8501	0.01	0.01	0.8	1	0	4312	0	0.150585	-0.00830468	0	2	NA	0	0	0	2	NA	0	0	0	
0	9001	0.01	0.01	0.8	1	0	4572	-0.5	0.184207	-0.221422	0	2	NA	0	0	0	1	Sp2	33.8931	47.5343	14.9133	
0	9501	0.01	0.01	0.8	1	1	4831	0	0.0392554	0.0047295	0	1	Sp3	0.875382	16.9947	81.3428	0	Sp3	85.0089	51.7117	61.3971	
0	10001	0.01	0.01	0.8	1	1	5129	0	0.01905	0.00266622	0	1	Sp2	33.6422	47.3746	13.2376	0	Sp1	37.1752	83.5886	15.026	
0	10501	0.01	0.01	0.8	1	0	5387	0	0.437012	-0.259408	0	2	NA	0	0	0	0	Sp3	84.2245	53.2556	63.4977	
0	11001	0.01	0.01	0.8	1	1	5664	0	0.0234747	0.00227905	0	1	Sp2	33.4531	48.8849	13.1093	0	Sp3	86.6708	50.1631	61.9059	
0	11501	0.01	0.01	0.8	1	1	5915	0	0.457593	0.296448	0	0	Sp1	36.7478	81.8936	15.7591	2	NA	0	0	0	
0	12001	0.01	0.01	0.8	1	0	6151	-0.5	0.252399	-0.284858	0	2	NA	0	0	0	1	Sp2	33.3784	46.5134	14.0412	
0	12501	0.01	0.01	0.8	1	1	6406	0	0.577611	-0.365696	1	0	Sp2	35.894	94.9708	12.2406	2	NA	0	0	0	
0	13001	0.01	0.01	0.8	1	0	6658	0	0.521978	0.326758	1	2	NA	0	0	0	0	Sp3	86.83	50.0198	62.8823	
0	13501	0.01	0.01	0.8	1	1	6921	-0.5	0.0621261	0.00943388	1	0	Sp3	85.727	49.6546	61.8289	1	Sp3	0	16.3891	79.6679	
0	14001	0.01	0.01	0.8	1	1	7182	0	0.0359927	-0.00170986	1	1	Sp2	32.6908	47.7059	13.8211	0	Sp3	86.1957	50.9876	63.0115	
0	14501	0.01	0.01	0.8	1	1	7467	0	0.349472	0.400237	0	1	Sp1	43.4378	7.93447	67.6195	2	NA	0	0	0	
0	15001	0.01	0.01	0.8	1	0	7746	-0.5	0.402758	-0.460789	0	2	NA	0	0	0	1	Sp1	45.5829	6.92809	67.9224	
0	15501	0.01	0.01	0.8	1	1	8009	0	0.685799	0.486475	0	0	Sp2	34.3508	94.7299	13.7403	2	NA	0	0	0	
0	16001	0.01	0.01	0.8	1	0	8300	0	0.288868	0.0203736	1	2	NA	0	0	0	2	NA	0	0	0	
0	16501	0.01	0.01	0.8	1	1	8589	0	0.0669937	0.00868271	0	1	Sp3	1.92359	16.3369	81.4156	0	Sp1	37.4835	82.541	17.212	
0	17001	0.01	0.01	0.8	1	1	8848	-0.5	0.0440111	0.00791375	1	0	Sp1	38.0345	81.4668	13.8038	1	Sp1	44.1416	7.15212	65.4067	
0	17501	0.01	0.01	0.8	1	0	9105	0	0.263276	0.00564499	1	2	NA	0	0	0	2	NA	0	0	0	
0	18001	0.01	0.01	0.8	1	0	9366	-0.5	0.390529	-0.399646	0	2	NA	0	0	0	1	Sp2	34.7136	47.2797	13.2607	
0	18501	0.01	0.01	0.8	1	0	9644	0	0.294132	0.0105153	1	2	NA	0	0	0	2	NA	0	0	0	
0	19001	0.01	0.01	0.8	1	0	9903	0	0.307421	0.0149357	0	2	NA	0	0	0	2	NA	0	0	0	
0	19501	0.01	0.01	0.8	1	0	10168	0	0.674927	0.464725	1	2	NA	0	0	0	0	Sp3	88.7036	51.2232	62.3796	
0	20001	0.01	0.01	0.8	1	1	10437	0	0.532947	0.708693	0	1	Sp3	0	15.733	81.5413	2	NA	0	0	0	
0	20501	0.01	0.01	0.8	1	1	10721	0	0.853595	-0.598377	1	0	Sp2	35.5325	97.9221	11.8577	2	NA	0	0	0	
0	21001	0.01	0.01	0.8	1	0	10984	0	0.358284	0.0108246	1	2	NA	0	0	0	2	NA	0	0	0	
0	21501	0.01	0.01	0.8	1	0	11247	0	0.367477	0.00226142	1	2	NA	0	0	0	2	NA	0	0	0	
0	22001	0.01	0.01	0.8	1	1	11525	0	0.0988826	-0.0026961	1	0	Sp1	36.9829	83.8272	15.7946	0	Sp2	35.7702	95.5546	12.221	
0	22501	0.01	0.01	0.8	1	0	11803	0	0.384798	-0.0051981	0	2	NA	0	0	0	2	NA	0	0	0	
0	23001	0.01	0.01	0.8	1	1	12082	0	0.777257	-0.552819	1	0	Sp3	85.5908	52.017	62.3074	2	NA	0	0	0	
0	23501	0.01	0.01	0.8	1	1	12352	0	0.0550549	-0.00726335	1	1	Sp2	33.3789	46.8243	14.4032	0	Sp1	38.4689	82.5302	14.9767	
0	24001	0.01	0.01	0.8	1	1	12617	0	0.778114	-0.557024	1	0	Sp1	39.1486	83.8326	14.6793	2	NA	0	0	0	
0	24501	0.01	0.01	0.8	1	0	12906	0	0.414609	0.0140675	1	2	NA	0	0	0	2	NA	0	0	0	
0	25001	0.01	0.01	0.8	1	0	13191	-0.5	0.76272	0.985116	1	2	NA	0	0	0	1	Sp3	0.337012	17.56	81.1283	
0	25501	0.01	0.01	0.8	1	1	13477	-0.5	0.0660597	0.0108264	1	0	Sp3	86.157	51.2438	61.5971	1	Sp1	44.3225	6.97077	66.1159	
0	26001	0.01	0.01	0.8	1	0	13779	0	0.443039	-0.0386651	0	2	NA	0	0	0	2	NA	0	0	0	
0	26501	0.01	0.01	0.8	1	0	14062	0	1.0083	-0.768186	0	2	NA	0	0	0	0	Sp2	34.4719	95.9527	12.2555	
0	27001	0.01	0.01	0.8	1	0	14345	0	0.43799	-0.0202343	0	2	NA	0	0	0	2	NA	0	0	0	
0	27501	0.01	0.01	0.8	1	1	14628	0	1.00326	0.802081	0	0	Sp2	35.584	97.1435	13.6987	2	NA	0	0	0	
0	28001	0.01	0.01	0.8	1	0	14905	0	0.456651	-0.0288786	1	2	NA	0	0	0	2	NA	0	0	0	
0	28501	0.01	0.01	0.8	1	1	15191	0	0.801072	1.00986	0	1	Sp3	0	15.5905	80.963	2	NA	0	0	0	
0	29001	0.01	0.01	0.8	1	1	15476	0	1.07439	0.857222	0	0	Sp2	34.3027	95.1248	14.5615	2	NA	0	0	0	
0	29501	0.01	0.01	0.8	1	1	15772	0	0.813245	0.624097	0	0	Sp1	37.8431	83.975	13.3482	2	NA	0	0	0	
