Training	Age	AlphaCri	AlphaAct	Gamma	Neta	Current.Reward	Cum.Reward	Neg.Reward	value	preference	choice	Type_choice	Species_choice	Height_choice	Length_choice	redMain_choice	Type_discard	Species_discard	Height_discard	Length_discard	redMain_discard	
0	1	0.01	0.01	0.8	0	0	0	0	0	0	0	2	NA	0	0	0	2	NA	0	0	0	
0	501	0.01	0.01	0.8	0	0.632259	216.824	-0.5	0.00756653	0.000249758	1	0	Sp2	30.3329	54.21	21.4678	1	Sp1	79.0173	95.845	93.064	
0	1001	0.01	0.01	0.8	0	1.52183	422.441	0	0.00700904	-8.8931e-06	0	1	Sp1	71.4237	94.7784	93.8203	0	Sp1	25.9045	11.2428	82.7481	
0	1501	0.01	0.01	0.8	0	0	663.741	-0.5	0.0835912	-0.0424065	0	2	NA	0	0	0	1	Sp1	66.124	94.8941	94.4635	
0	2001	0.01	0.01	0.8	0	0.779715	874.193	0	0.179411	0.099264	0	0	Sp2	35.9615	54.0487	23.6143	2	NA	0	0	0	
0	2501	0.01	0.01	0.8	0	0	1119.55	-0.5	0.117452	-0.0600741	0	2	NA	0	0	0	1	Sp1	59.5853	92.7654	92.8111	
0	3001	0.01	0.01	0.8	0	0	1344.49	0	0.0814686	-0.00186453	1	2	NA	0	0	0	2	NA	0	0	0	
0	3501	0.01	0.01	0.8	0	0.553484	1560.82	-0.5	0.0191476	-0.00423253	0	0	Sp1	25.6731	11.7252	81.6258	1	Sp2	56.9284	46.2018	52.8464	
0	4001	0.01	0.01	0.8	0	0	1791.68	0	0.113945	0.0616407	1	2	NA	0	0	0	0	Sp1	39.5261	12.5686	83.2772	
0	4501	0.01	0.01	0.8	0	1.31567	2014.14	0	0.0242871	-0.00175776	1	1	Sp2	68.9076	46.5199	56.6358	0	Sp1	18.0122	11.8597	82.7336	
0	5001	0.01	0.01	0.8	0	0.351148	2232	0	0.148816	-0.0815677	1	0	Sp1	17.285	11.8395	81.993	2	NA	0	0	0	
0	5501	0.01	0.01	0.8	0	0	2460.22	0	0.184247	-0.00522981	1	2	NA	0	0	0	2	NA	0	0	0	
