Training	Age	AlphaCri	AlphaAct	Gamma	Neta	Current.Reward	Cum.Reward	Neg.Reward	value	preference	choice	Type_choice	Species_choice	Height_choice	Length_choice	redMain_choice	Type_discard	Species_discard	Height_discard	Length_discard	redMain_discard	
0	1	0.01	0.01	0	0	0	0	0	0	0	0	2	NA	0	0	0	2	NA	0	0	0	
0	501	0.01	0.01	0	0	1	266	0	0.00331349	-6.701e-05	0	1	Sp1	72.1753	93.9055	95.0142	0	Sp1	41.1792	10.9604	82.152	
0	1001	0.01	0.01	0	0	1	526	0	0.075202	0.0399523	0	1	Sp2	68.8626	45.0935	53.9644	2	NA	0	0	0	
0	1501	0.01	0.01	0	0	1	784	0	0.00684139	0.000861219	0	0	Sp1	37.1077	12.0504	83.3258	0	Sp1	19.4582	12.5496	82.9652	
0	2001	0.01	0.01	0	0	1	1035	0	0.00762782	-0.000144715	1	0	Sp1	59.7927	10.7694	84.1606	0	Sp2	30.5709	57.286	22.0317	
0	2501	0.01	0.01	0	0	1	1277	0	0.0801655	-0.0135625	0	0	Sp2	23.9677	55.7502	19.8196	0	Sp2	32.6995	55.2546	23.8019	
0	3001	0.01	0.01	0	0	1	1532	0	0.107592	-0.0593003	1	1	Sp1	62.1491	93.7378	92.7294	2	NA	0	0	0	
0	3501	0.01	0.01	0	0	1	1785	0	0.135152	-0.081511	1	0	Sp1	37.8274	13.6596	83.7324	2	NA	0	0	0	
0	4001	0.01	0.01	0	0	0	2033	0	6.05717e-07	-1.10267e-06	1	2	NA	0	0	0	2	NA	0	0	0	
0	4501	0.01	0.01	0	0	0	2304	0	5.89526e-07	-1.33825e-06	0	2	NA	0	0	0	2	NA	0	0	0	
0	5001	0.01	0.01	0	0	1	2574	0	0.23909	0.156245	0	1	Sp2	82.8566	44.2844	54.5844	2	NA	0	0	0	
0	5501	0.01	0.01	0	0	0	2826	-0.5	0.371253	-0.250881	0	2	NA	0	0	0	1	Sp2	68.1772	47.1612	52.1545	
0	6001	0.01	0.01	0	0	1	3096	-0.5	0.0279055	0.00238002	0	1	Sp1	80.1933	93.3525	94.9132	1	Sp1	67.8806	92.768	93.0078	
0	6501	0.01	0.01	0	0	1	3344	-0.5	0.12026	0.00753849	1	0	Sp2	31.6419	53.8187	22.5529	1	Sp2	65.2576	46.7265	56.3881	
0	7001	0.01	0.01	0	0	1	3611	0	0.0263609	0.000507049	0	0	Sp1	32.9492	12.237	84.3738	0	Sp1	31.9238	10.556	82.564	
0	7501	0.01	0.01	0	0	1	3885	0	0.652768	-0.707614	1	0	Sp2	24.3184	55.2278	23.3071	2	NA	0	0	0	
0	8001	0.01	0.01	0	0	1	4151	0	0.0985408	-0.00361147	1	0	Sp1	24.7535	14.2143	81.1158	0	Sp2	22.9822	57.1898	20.884	
0	8501	0.01	0.01	0	0	0	4413	0	0.379499	0.283019	1	2	NA	0	0	0	0	Sp1	25.0949	10.4943	83.5262	
0	9001	0.01	0.01	0	0	0	4688	0	-2.23262e-07	-1.90937e-06	0	2	NA	0	0	0	2	NA	0	0	0	
0	9501	0.01	0.01	0	0	0	4952	0	0.641639	0.74901	1	2	NA	0	0	0	0	Sp2	30.5599	56.2952	24.3157	
0	10001	0.01	0.01	0	0	1	5206	0	0.450855	0.344817	0	1	Sp1	68.148	95.9129	93.0979	2	NA	0	0	0	
