Training	Age	AlphaCri	AlphaAct	Gamma	Neta	Current.Reward	Cum.Reward	Neg.Reward	value	preference	choice	Type_choice	Species_choice	Height_choice	Length_choice	redMain_choice	Type_discard	Species_discard	Height_discard	Length_discard	redMain_discard	
0	1	0.01	0.01	0.8	0	0	0	0	0	0	0	2	NA	0	0	0	2	NA	0	0	0	
0	501	0.01	0.01	0.8	0	1	277	0	0.0501355	-0.0250987	1	1	Sp2	14.0422	82.9305	46.4832	2	NA	0	0	0	
0	1001	0.01	0.01	0.8	0	1	514	0	0.0824866	-0.0418493	1	0	Sp1	14.5817	94.5315	92.8864	2	NA	0	0	0	
0	1501	0.01	0.01	0.8	0	1	768	0	0.151017	-0.0788932	1	1	Sp2	13.2504	82.4867	47.4454	2	NA	0	0	0	
0	2001	0.01	0.01	0.8	0	1	1048	0	0.154608	0.0785575	0	1	Sp2	10.913	82.6429	47.3057	2	NA	0	0	0	
0	2501	0.01	0.01	0.8	0	0	1322	0	0.140192	-0.00128519	0	2	NA	0	0	0	2	NA	0	0	0	
0	3001	0.01	0.01	0.8	0	0	1569	0	0.678952	0.45174	1	2	NA	0	0	0	0	Sp2	53.0445	54.184	24.5143	
0	3501	0.01	0.01	0.8	0	0	1814	0	0.393408	-0.219965	0	2	NA	0	0	0	0	Sp1	16.5033	95.1611	94.2245	
0	4001	0.01	0.01	0.8	0	0	2081	0	0.263048	0.00513966	0	2	NA	0	0	0	2	NA	0	0	0	
0	4501	0.01	0.01	0.8	0	0	2368	0	0.294692	0.00396892	0	2	NA	0	0	0	2	NA	0	0	0	
0	5001	0.01	0.01	0.8	0	1	2629	0	0.100816	-0.000887634	0	1	Sp2	11.0871	82.5845	46.1891	0	Sp1	15.8764	94.3165	93.3257	
0	5501	0.01	0.01	0.8	0	0	2896	0	0.359197	0.00388686	1	2	NA	0	0	0	2	NA	0	0	0	
0	6001	0.01	0.01	0.8	0	1	3163	0	0.275632	-0.0202561	0	0	Sp2	53.3409	54.5627	24.2482	0	Sp1	16.0509	93.9429	93.0333	
0	6501	0.01	0.01	0.8	0	1	3437	0	0.117622	-0.00388818	1	0	Sp1	16.8204	94.4471	93.894	0	Sp1	15.656	93.1054	94.4403	
0	7001	0.01	0.01	0.8	0	1	3710	-0.5	0.157449	-0.00384373	0	1	Sp1	18.53	71.2622	58.6005	1	Sp2	10.9644	81.7206	49.5468	
0	7501	0.01	0.01	0.8	0	1	3967	0	0.705074	0.44256	0	0	Sp1	14.5918	94.7643	94.8278	2	NA	0	0	0	
0	8001	0.01	0.01	0.8	0	1	4246	0	0.125981	-0.00348195	1	0	Sp1	14.9017	93.5904	94.1936	0	Sp1	16.6197	94.0291	93.7348	
0	8501	0.01	0.01	0.8	0	1	4532	0	0.78576	-0.463453	1	1	Sp1	16.6108	70.0221	57.4401	2	NA	0	0	0	
