Training	Age	AlphaCri	AlphaAct	Gamma	Neta	Current.Reward	Cum.Reward	Neg.Reward	value	preference	choice	Type_choice	Species_choice	Height_choice	Length_choice	redMain_choice	Type_discard	Species_discard	Height_discard	Length_discard	redMain_discard	
0	1	0.001	0.001	0.8	1	0	0	0	0	0	0	2	NA	0	0	0	2	NA	0	0	0	
0	501	0.001	0.001	0.8	1	1	252	0	0.00400697	0.00445489	0	1	Sp1	75.3833	19.0496	39.8843	2	NA	0	0	0	
0	1001	0.001	0.001	0.8	1	0	524	-0.5	0.00798424	0.00872681	1	2	NA	0	0	0	1	Sp1	77.2728	16.3539	39.1595	
0	1501	0.001	0.001	0.8	1	0	778	0	0.0022565	3.44725e-05	0	2	NA	0	0	0	2	NA	0	0	0	
0	2001	0.001	0.001	0.8	1	1	1025	0	0.00974919	0.00183368	0	1	Sp1	75.9202	17.9601	40.8185	0	Sp1	85.5195	95.9447	21.2261	
0	2501	0.001	0.001	0.8	1	1	1283	0	0.0739607	0.0380742	0	0	Sp1	86.5502	97.7814	20.7701	2	NA	0	0	0	
0	3001	0.001	0.001	0.8	1	0	1526	0	0.0993865	-0.0512469	0	2	NA	0	0	0	0	Sp1	85.8732	97.2875	21.7501	
0	3501	0.001	0.001	0.8	1	1	1780	0	0.13186	-0.0685591	1	0	Sp1	83.1717	98.4328	22.4035	2	NA	0	0	0	
0	4001	0.001	0.001	0.8	1	0	2023	0	0.0133067	0.000484517	1	2	NA	0	0	0	2	NA	0	0	0	
0	4501	0.001	0.001	0.8	1	1	2276	0	0.0331984	-0.00697416	1	1	Sp1	75.2403	18.095	41.0881	0	Sp1	85.0163	98.1105	22.0167	
0	5001	0.001	0.001	0.8	1	1	2519	0	0.163239	0.0864786	0	0	Sp1	83.6534	96.5312	21.8907	2	NA	0	0	0	
0	5501	0.001	0.001	0.8	1	1	2760	0	0.041499	0.0526527	0	1	Sp1	76.7873	18.914	41.0392	2	NA	0	0	0	
