Training	Age	AlphaCri	AlphaAct	Gamma	Neta	Current.Reward	Cum.Reward	Neg.Reward	value	preference	choice	Type_choice	Species_choice	Height_choice	Length_choice	redMain_choice	Type_discard	Species_discard	Height_discard	Length_discard	redMain_discard	
0	1	0.001	0.001	0	1	0	0	0	0	0	0	2	NA	0	0	0	2	NA	0	0	0	
0	501	0.001	0.001	0	1	0	255	0	4.4316e-12	3.03146e-12	0	2	NA	0	0	0	2	NA	0	0	0	
0	1001	0.001	0.001	0	1	0	509	0	0.0320367	-0.0163978	0	2	NA	0	0	0	0	Sp1	87.2135	97.0645	22.3864	
0	1501	0.001	0.001	0	1	1	775	0	0.00912294	-0.00130118	1	1	Sp1	75.8525	18.5383	41.2429	0	Sp1	84.8171	97.5092	20.4638	
0	2001	0.001	0.001	0	1	0	1057	0	0.0681608	-0.0361379	0	2	NA	0	0	0	0	Sp1	85.7168	98.6804	23.4637	
0	2501	0.001	0.001	0	1	1	1307	0	0.0120128	0.00143793	0	1	Sp1	76.1716	17.2295	40.3742	0	Sp1	85.3239	96.8981	21.9976	
0	3001	0.001	0.001	0	1	0	1557	0	8.67643e-11	7.96182e-12	1	2	NA	0	0	0	2	NA	0	0	0	
0	3501	0.001	0.001	0	1	1	1813	-0.5	0.0190246	-0.00402249	0	0	Sp1	83.8863	97.8011	22.5347	1	Sp1	76.2862	17.7424	37.6442	
0	4001	0.001	0.001	0	1	0	2062	0	1.05715e-10	2.86247e-12	0	2	NA	0	0	0	2	NA	0	0	0	
0	4501	0.001	0.001	0	1	1	2307	0	0.150305	0.0850574	0	0	Sp1	86.5507	98.0418	22.35	2	NA	0	0	0	
0	5001	0.001	0.001	0	1	0	2555	0	1.16806e-10	6.34166e-12	1	2	NA	0	0	0	2	NA	0	0	0	
0	5501	0.001	0.001	0	1	0	2819	0	1.11299e-10	7.12334e-12	0	2	NA	0	0	0	2	NA	0	0	0	
0	6001	0.001	0.001	0	1	0	3057	0	0.19101	0.113498	1	2	NA	0	0	0	0	Sp1	85.7322	98.497	22.0409	
0	6501	0.001	0.001	0	1	1	3327	0	0.188417	0.114731	0	0	Sp1	86.4741	96.6097	22.1791	2	NA	0	0	0	
0	7001	0.001	0.001	0	1	1	3585	-0.5	0.0362516	-0.00731555	0	0	Sp1	84.448	97.8231	21.6324	1	Sp1	76.8442	17.6933	39.9506	
0	7501	0.001	0.001	0	1	1	3830	0	0.0384256	-0.00745235	1	1	Sp1	76.1825	18.1151	41.0274	0	Sp1	85.5678	96.7062	21.8087	
0	8001	0.001	0.001	0	1	0	4089	0	1.11943e-10	7.08648e-12	0	2	NA	0	0	0	2	NA	0	0	0	
0	8501	0.001	0.001	0	1	1	4338	0	0.258096	0.165128	0	0	Sp1	84.7023	98.1801	22.165	2	NA	0	0	0	
0	9001	0.001	0.001	0	1	0	4586	0	0.230076	0.149371	1	2	NA	0	0	0	0	Sp1	85.8433	96.9603	20.1325	
0	9501	0.001	0.001	0	1	0	4855	0	1.114e-10	1.64754e-11	1	2	NA	0	0	0	2	NA	0	0	0	
0	10001	0.001	0.001	0	1	1	5113	0	0.286283	0.191302	0	0	Sp1	84.1889	96.8693	22.1552	2	NA	0	0	0	
