Training	Age	AlphaCri	AlphaAct	Gamma	Neta	Current.Reward	Cum.Reward	Neg.Reward	value	preference	choice	Type_choice	Species_choice	Height_choice	Length_choice	redMain_choice	Type_discard	Species_discard	Height_discard	Length_discard	redMain_discard	
0	1	0.01	0.01	0	0	0	0	0	0	0	0	2	NA	0	0	0	2	NA	0	0	0	
0	501	0.01	0.01	0	0	1	241	0	0.0231571	-0.0104706	1	0	Sp5	33.3511	73.7521	35.6442	2	NA	0	0	0	
0	1001	0.01	0.01	0	0	1	508	0	0.0146433	-0.00739581	1	1	Sp5	18.3169	85.9766	97.0747	2	NA	0	0	0	
0	1501	0.01	0.01	0	0	1	762	0	0.072171	-0.0379579	1	0	Sp4	68.1476	2.83866	37.9506	2	NA	0	0	0	
0	2001	0.01	0.01	0	0	1	1008	0	0.127179	-0.0675889	1	0	Sp5	31.9172	71.8232	34.1467	2	NA	0	0	0	
0	2501	0.01	0.01	0	0	1	1267	0	0.172979	0.0944778	0	0	Sp3	75.9569	29.1317	87.4709	2	NA	0	0	0	
0	3001	0.01	0.01	0	0	0	1513	0	0.0171201	-0.0068793	0	2	NA	0	0	0	2	NA	0	0	0	
0	3501	0.01	0.01	0	0	1	1766	0	0.00911696	-0.00106394	0	0	Sp4	67.3894	3.0422	40.7708	0	Sp2	10.2825	93.6914	54.5119	
0	4001	0.01	0.01	0	0	0	2015	0	0.0147898	-0.0130485	1	2	NA	0	0	0	2	NA	0	0	0	
0	4501	0.01	0.01	0	0	1	2280	0	0.0112615	-0.00108163	0	0	Sp4	67.0589	1.7334	40.1839	0	Sp2	9.54339	94.3991	56.6341	
0	5001	0.01	0.01	0	0	0	2527	-0.5	0.128269	0.0677308	1	2	NA	0	0	0	1	Sp5	18.9882	84.889	95.8602	
0	5501	0.01	0.01	0	0	0	2772	-0.5	0.0763419	0.0355202	1	2	NA	0	0	0	1	Sp1	13.2715	12.7675	2.05027	
0	6001	0.01	0.01	0	0	1	3029	0	0.373356	0.247637	0	0	Sp3	74.8163	27.5782	85.0278	2	NA	0	0	0	
0	6501	0.01	0.01	0	0	0	3294	0	0.238294	-0.150956	0	2	NA	0	0	0	0	Sp2	10.2679	95.4157	56.7393	
0	7001	0.01	0.01	0	0	1	3557	0	0.303763	0.19459	0	0	Sp4	67.7832	1.52693	40.8152	2	NA	0	0	0	
0	7501	0.01	0.01	0	0	0	3802	0	0.0135171	-0.0133304	0	2	NA	0	0	0	2	NA	0	0	0	
0	8001	0.01	0.01	0	0	0	4075	0	0.251636	0.16064	1	2	NA	0	0	0	0	Sp2	11.0426	94.4463	57.2641	
0	8501	0.01	0.01	0	0	0	4336	0	0.318198	0.217508	1	2	NA	0	0	0	0	Sp4	66.4175	1.52248	40.7146	
0	9001	0.01	0.01	0	0	1	4583	0	0.273924	-0.164202	1	1	Sp3	3.52043	19.578	18.0503	2	NA	0	0	0	
0	9501	0.01	0.01	0	0	1	4834	0	0.437341	0.38394	0	0	Sp3	75.7705	27.4091	86.0929	2	NA	0	0	0	
