Training	Age	AlphaCri	AlphaAct	Gamma	Neta	Current.Reward	Cum.Reward	Neg.Reward	value	preference	choice	Type_choice	Species_choice	Height_choice	Length_choice	redMain_choice	Type_discard	Species_discard	Height_discard	Length_discard	redMain_discard	
0	1	0.01	0.01	0	0	0	0	0	0	0	0	2	NA	0	0	0	2	NA	0	0	0	
0	501	0.01	0.01	0	0	0	248	0	0.00222857	-0.000874476	1	2	NA	0	0	0	2	NA	0	0	0	
0	1001	0.01	0.01	0	0	1	518	0	0.00213445	0.000666131	0	1	Sp2	34.4946	96.1482	12.5761	0	Sp2	27.79	0.882055	16.1411	
0	1501	0.01	0.01	0	0	0	789	0	0.0736718	-0.038974	0	2	NA	0	0	0	0	Sp1	32.6299	15.1105	35.2539	
0	2001	0.01	0.01	0	0	0	1037	-0.5	0.0737411	0.038049	1	2	NA	0	0	0	1	Sp2	62.409	95.8465	14.5133	
0	2501	0.01	0.01	0	0	1	1292	0	0.00630643	-0.000913	1	0	Sp4	24.8743	66.2019	15.4739	0	Sp3	29.9808	49.4697	61.9237	
0	3001	0.01	0.01	0	0	0	1531	0	0.152161	0.0864618	1	2	NA	0	0	0	0	Sp2	49.1562	0	15.1158	
0	3501	0.01	0.01	0	0	1	1795	0	0.186538	-0.108047	1	0	Sp3	26.211	52.3362	63.1489	2	NA	0	0	0	
0	4001	0.01	0.01	0	0	0	2048	0	0.172228	-0.105598	0	2	NA	0	0	0	0	Sp1	30.9083	14.2695	34.5518	
0	4501	0.01	0.01	0	0	1	2310	-0.5	0.0301893	-2.05354e-05	1	0	Sp2	27.802	1.11114	16.2039	1	Sp1	78.0678	33.783	47.6577	
0	5001	0.01	0.01	0	0	1	2561	-0.5	0.00480932	0.000716645	0	1	Sp4	65.1716	83.6675	27.4587	1	Sp3	66.4226	80.2681	85.8462	
0	5501	0.01	0.01	0	0	1	2805	0	0.123665	-0.0730535	1	1	Sp4	82.1605	84.0588	28.3692	2	NA	0	0	0	
0	6001	0.01	0.01	0	0	0	3061	0	0.00327768	-0.00473206	1	2	NA	0	0	0	2	NA	0	0	0	
0	6501	0.01	0.01	0	0	1	3320	0	0.00824316	-0.000493869	1	0	Sp3	44.9371	50.5042	61.8645	0	Sp4	25.836	64.8563	14.4189	
0	7001	0.01	0.01	0	0	0	3590	0	0.26556	0.180404	1	2	NA	0	0	0	0	Sp1	22.7605	13.7483	35.4235	
0	7501	0.01	0.01	0	0	0	3836	-0.5	0.119617	0.0681306	1	2	NA	0	0	0	1	Sp3	68.9973	79.7985	86.6544	
0	8001	0.01	0.01	0	0	1	4108	0	0.336835	0.230877	0	0	Sp3	23.0502	50.0672	62.7432	2	NA	0	0	0	
0	8501	0.01	0.01	0	0	1	4364	0	0.221609	-0.134741	1	0	Sp4	41.9292	67.5011	13.3556	2	NA	0	0	0	
0	9001	0.01	0.01	0	0	0	4617	0	0.00228217	-0.00944052	0	2	NA	0	0	0	2	NA	0	0	0	
0	9501	0.01	0.01	0	0	1	4874	0	0.385588	-0.277058	1	0	Sp3	26.8183	51.4697	61.7168	2	NA	0	0	0	
0	10001	0.01	0.01	0	0	1	5124	0	0.0225351	-0.0014916	0	0	Sp2	44.0459	0	16.8979	0	Sp4	43.2172	67.3312	12.2637	
0	10501	0.01	0.01	0	0	0	5374	0	-0.000470491	-0.0108109	0	2	NA	0	0	0	2	NA	0	0	0	
0	11001	0.01	0.01	0	0	0	5654	-0.5	0.353451	0.239605	1	2	NA	0	0	0	1	Sp1	53.6601	31.9138	48.6247	
0	11501	0.01	0.01	0	0	0	5912	0	0.391072	0.318286	1	2	NA	0	0	0	0	Sp1	25.7877	14.1057	34.5986	
0	12001	0.01	0.01	0	0	1	6174	0	0.271405	-0.22754	1	0	Sp1	20.159	14.7143	37.5592	2	NA	0	0	0	
0	12501	0.01	0.01	0	0	0	6432	0	0.313774	-0.206186	0	2	NA	0	0	0	0	Sp4	49.8592	66.0648	14.5737	
0	13001	0.01	0.01	0	0	1	6686	0	0.01959	0.000227098	1	0	Sp4	31.497	64.7419	15.0676	0	Sp1	35.9317	14.0109	34.4446	
0	13501	0.01	0.01	0	0	0	6924	0	0.00185966	-0.0114519	0	2	NA	0	0	0	2	NA	0	0	0	
0	14001	0.01	0.01	0	0	1	7191	0	0.220284	-0.132718	1	1	Sp3	76.5032	80.3646	87.1059	2	NA	0	0	0	
0	14501	0.01	0.01	0	0	1	7468	0	0.0433534	-0.000455408	0	0	Sp3	32.8825	51.3542	62.8915	0	Sp3	31.7195	50.2245	63.9617	
0	15001	0.01	0.01	0	0	1	7731	0	0.0562881	-0.00462676	1	0	Sp4	35.2944	67.045	15.9805	0	Sp2	30.967	2.24729	16.6641	
0	15501	0.01	0.01	0	0	1	7988	0	0.396134	0.351785	0	0	Sp1	19.6929	14.4733	34.6319	2	NA	0	0	0	
0	16001	0.01	0.01	0	0	0	8243	0	0.531688	-0.427631	0	2	NA	0	0	0	0	Sp3	27.189	51.8847	64.292	
0	16501	0.01	0.01	0	0	0	8506	0	0.544219	-0.458739	0	2	NA	0	0	0	0	Sp3	24.7074	50.8482	62.1184	
0	17001	0.01	0.01	0	0	1	8771	0	0.667261	0.742112	0	0	Sp2	28.4244	0.989644	16.2347	2	NA	0	0	0	
0	17501	0.01	0.01	0	0	0	9035	-0.5	0.380192	0.306041	1	2	NA	0	0	0	1	Sp1	59.1345	34.4751	47.2756	
0	18001	0.01	0.01	0	0	1	9308	-0.5	0.0452526	0.00111461	1	0	Sp1	34.7873	15.185	33.44	1	Sp1	56.4263	33.0534	47.9492	
0	18501	0.01	0.01	0	0	1	9582	-0.5	0.0231951	-0.000547038	1	0	Sp4	23.1555	67.656	14.2225	1	Sp2	68.5524	95.7249	12.4469	
0	19001	0.01	0.01	0	0	0	9845	0	0.00107332	-0.0097386	1	2	NA	0	0	0	2	NA	0	0	0	
0	19501	0.01	0.01	0	0	1	10096	0	0.642922	0.744474	0	0	Sp2	28.053	0	14.4543	2	NA	0	0	0	
0	20001	0.01	0.01	0	0	0	10387	0	0.00155907	-0.0120294	1	2	NA	0	0	0	2	NA	0	0	0	
0	20501	0.01	0.01	0	0	0	10656	0	0.570251	-0.506472	0	2	NA	0	0	0	0	Sp3	21.5662	50.484	61.5312	
0	21001	0.01	0.01	0	0	1	10932	0	0.361642	0.273569	0	1	Sp1	79.6654	34.6296	47.736	2	NA	0	0	0	
0	21501	0.01	0.01	0	0	1	11198	0	0.768933	-0.969261	1	0	Sp2	29.3788	0.539069	16.8754	2	NA	0	0	0	
0	22001	0.01	0.01	0	0	0	11465	0	0.363091	-0.305772	0	2	NA	0	0	0	0	Sp4	55.25	63.4116	16.6044	
0	22501	0.01	0.01	0	0	1	11730	0	0.376154	-0.322876	1	0	Sp4	21.0782	65.6188	13.9954	2	NA	0	0	0	
0	23001	0.01	0.01	0	0	1	11984	0	0.0529239	0.00190671	1	1	Sp2	76.801	97.1817	11.5483	0	Sp1	32.4704	13.8516	34.4625	
0	23501	0.01	0.01	0	0	1	12254	0	0.360456	-0.243637	1	1	Sp3	72.8396	81.0853	84.6199	2	NA	0	0	0	
0	24001	0.01	0.01	0	0	1	12512	-0.5	0.0225515	-0.000584805	0	1	Sp1	74.8751	34.1764	48.0223	1	Sp3	60.3478	80.9584	85.151	
0	24501	0.01	0.01	0	0	1	12770	0	0.265056	0.291091	0	0	Sp1	11.9868	12.3578	34.5842	2	NA	0	0	0	
0	25001	0.01	0.01	0	0	0	13042	0	-0.000245632	-0.0129557	1	2	NA	0	0	0	2	NA	0	0	0	
