Training	Age	AlphaCri	AlphaAct	Gamma	Neta	Current.Reward	Cum.Reward	Neg.Reward	value	preference	choice	Type_choice	Species_choice	Height_choice	Length_choice	redMain_choice	Type_discard	Species_discard	Height_discard	Length_discard	redMain_discard	
0	1	0.01	0.01	0	1	0	0	0	0	0	0	2	NA	0	0	0	2	NA	0	0	0	
0	501	0.01	0.01	0	1	1	236	0	0.000509001	-0.000216604	0	1	Sp1	68.4238	34.5363	47.1696	0	Sp1	22.7475	14.4057	35.6637	
0	1001	0.01	0.01	0	1	0	485	0	0.00184547	0.000549271	1	2	NA	0	0	0	2	NA	0	0	0	
0	1501	0.01	0.01	0	1	0	744	0	0.00435288	0.00106996	1	2	NA	0	0	0	2	NA	0	0	0	
0	2001	0.01	0.01	0	1	0	994	0	0.00303985	0.002074	1	2	NA	0	0	0	2	NA	0	0	0	
0	2501	0.01	0.01	0	1	1	1238	0	0.0581611	-0.0698296	1	1	Sp4	53.2889	84.2263	28.4643	2	NA	0	0	0	
0	3001	0.01	0.01	0	1	0	1508	0	0.00408986	0.00175666	1	2	NA	0	0	0	2	NA	0	0	0	
0	3501	0.01	0.01	0	1	1	1742	0	0.0180678	0.00052782	0	0	Sp3	23.9217	51.1828	62.3344	0	Sp2	31.2244	2.82203	15.4095	
0	4001	0.01	0.01	0	1	0	1984	0	0.00492115	0.00428686	1	2	NA	0	0	0	2	NA	0	0	0	
0	4501	0.01	0.01	0	1	0	2225	0	0.0044948	0.00381601	0	2	NA	0	0	0	2	NA	0	0	0	
0	5001	0.01	0.01	0	1	1	2475	0	0.0833049	0.133805	0	1	Sp4	73.2672	84.6671	30.312	2	NA	0	0	0	
0	5501	0.01	0.01	0	1	1	2736	0	0.393574	0.250086	0	0	Sp2	29.051	2.14936	15.589	2	NA	0	0	0	
0	6001	0.01	0.01	0	1	0	2997	0	0.155055	-0.110017	0	2	NA	0	0	0	0	Sp4	38.4074	67.1772	14.7587	
0	6501	0.01	0.01	0	1	1	3249	0	0.0366058	0.00626266	1	0	Sp2	21.7286	1.15988	15.1976	0	Sp3	37.7052	51.2781	61.91	
0	7001	0.01	0.01	0	1	1	3506	-0.5	0.00255883	0.000300022	0	1	Sp3	58.9589	81.8115	85.8152	1	Sp3	73.605	80.9159	86.3228	
0	7501	0.01	0.01	0	1	1	3783	0	0.31273	0.224541	0	0	Sp2	39.3485	1.95624	17.2148	2	NA	0	0	0	
0	8001	0.01	0.01	0	1	0	4030	0	0.280967	0.200452	1	2	NA	0	0	0	0	Sp1	28.1004	15.1949	35.1281	
0	8501	0.01	0.01	0	1	0	4291	0	0.00136211	0.00621744	0	2	NA	0	0	0	2	NA	0	0	0	
0	9001	0.01	0.01	0	1	1	4530	0	0.398927	-0.298982	1	0	Sp2	38.0421	1.52666	17.7124	2	NA	0	0	0	
0	9501	0.01	0.01	0	1	0	4787	0	0.00319622	0.00589666	0	2	NA	0	0	0	2	NA	0	0	0	
0	10001	0.01	0.01	0	1	1	5035	0	0.223407	-0.168528	1	0	Sp4	38.9222	65.528	15.4185	2	NA	0	0	0	
0	10501	0.01	0.01	0	1	1	5288	-0.5	0.00291098	-0.000182184	0	1	Sp1	67.1032	33.0567	47.8868	1	Sp3	46.9249	81.716	85.0496	
0	11001	0.01	0.01	0	1	1	5554	0	0.0198363	-0.00355447	1	1	Sp4	85.4368	85.344	26.4653	0	Sp2	43.9136	1.36108	15.9393	
0	11501	0.01	0.01	0	1	0	5831	-0.5	0.357196	-0.346941	0	2	NA	0	0	0	1	Sp4	52.8899	83.4463	28.0331	
0	12001	0.01	0.01	0	1	1	6083	0	0.506086	-0.43225	1	0	Sp2	20.5512	2.22211	15.7663	2	NA	0	0	0	
0	12501	0.01	0.01	0	1	0	6329	0	0.000316545	0.00377125	1	2	NA	0	0	0	2	NA	0	0	0	
0	13001	0.01	0.01	0	1	1	6596	0	0.346054	-0.25964	1	0	Sp4	34.7989	66.2351	17.9561	2	NA	0	0	0	
0	13501	0.01	0.01	0	1	0	6848	0	0.00029137	0.00369023	0	2	NA	0	0	0	2	NA	0	0	0	
0	14001	0.01	0.01	0	1	0	7111	0	0.265819	-0.242181	0	2	NA	0	0	0	0	Sp1	39.9114	13.3308	36.6993	
0	14501	0.01	0.01	0	1	1	7371	0	0.444517	0.390477	0	0	Sp1	26.8038	14.4081	33.9065	2	NA	0	0	0	
0	15001	0.01	0.01	0	1	0	7643	0	0.000492857	0.00300862	1	2	NA	0	0	0	2	NA	0	0	0	
0	15501	0.01	0.01	0	1	0	7900	0	0.000531018	0.00180017	0	2	NA	0	0	0	2	NA	0	0	0	
0	16001	0.01	0.01	0	1	1	8167	0	0.411312	0.345819	0	0	Sp3	37.3027	49.172	62.3417	2	NA	0	0	0	
0	16501	0.01	0.01	0	1	1	8438	0	0.506898	0.42827	0	0	Sp3	31.8596	50.5585	60.5911	2	NA	0	0	0	
0	17001	0.01	0.01	0	1	1	8679	-0.5	0.0319868	0.00510334	1	0	Sp3	27.8415	51.202	62.2361	1	Sp2	53.9023	96.7693	13.6873	
0	17501	0.01	0.01	0	1	0	8943	0	0.00196699	0.000155999	1	2	NA	0	0	0	2	NA	0	0	0	
0	18001	0.01	0.01	0	1	0	9220	0	0.00257175	0.00029742	1	2	NA	0	0	0	2	NA	0	0	0	
0	18501	0.01	0.01	0	1	1	9516	0	0.438533	0.421476	0	0	Sp1	20.4246	12.7548	35.0254	2	NA	0	0	0	
0	19001	0.01	0.01	0	1	1	9793	0	0.1368	0.247341	0	1	Sp3	71.7359	80.4803	87.8493	2	NA	0	0	0	
0	19501	0.01	0.01	0	1	0	10064	0	0.574851	0.550892	1	2	NA	0	0	0	0	Sp3	24.6818	51.5394	60.9275	
0	20001	0.01	0.01	0	1	0	10297	-0.5	0.152515	0.255529	1	2	NA	0	0	0	1	Sp3	77.2141	81.2424	86.2942	
0	20501	0.01	0.01	0	1	0	10575	0	0.000257933	0.00194045	1	2	NA	0	0	0	2	NA	0	0	0	
0	21001	0.01	0.01	0	1	1	10842	0	0.26525	-0.47822	1	1	Sp1	65.983	33.9803	49.0519	2	NA	0	0	0	
0	21501	0.01	0.01	0	1	0	11110	0	0.000405227	0.00314608	0	2	NA	0	0	0	2	NA	0	0	0	
0	22001	0.01	0.01	0	1	1	11396	0	0.329885	-0.355267	1	0	Sp1	56.0709	14.2333	33.7888	2	NA	0	0	0	
0	22501	0.01	0.01	0	1	0	11674	0	0.00125954	0.00313676	0	2	NA	0	0	0	2	NA	0	0	0	
0	23001	0.01	0.01	0	1	0	11945	0	0.00117752	0.0018522	0	2	NA	0	0	0	2	NA	0	0	0	
0	23501	0.01	0.01	0	1	0	12215	0	0.00061744	0.00104902	0	2	NA	0	0	0	2	NA	0	0	0	
0	24001	0.01	0.01	0	1	1	12489	0	0.571963	0.652898	0	0	Sp2	41.2784	0.0971414	16.1784	2	NA	0	0	0	
0	24501	0.01	0.01	0	1	0	12768	0	-0.000202506	-0.00051306	0	2	NA	0	0	0	2	NA	0	0	0	
0	25001	0.01	0.01	0	1	0	13053	0	0.00179364	4.72756e-05	0	2	NA	0	0	0	2	NA	0	0	0	
0	25501	0.01	0.01	0	1	0	13332	0	0.599469	-0.697358	0	2	NA	0	0	0	0	Sp2	44.9645	1.76249	16.5122	
0	26001	0.01	0.01	0	1	0	13603	0	0.535673	0.5902	1	2	NA	0	0	0	0	Sp3	34.4054	52.6194	61.4389	
0	26501	0.01	0.01	0	1	1	13864	0	0.100166	-0.0146715	0	0	Sp2	27.4199	1.77899	15.2492	0	Sp4	23.207	67.9085	13.9676	
