Training	Age	AlphaCri	AlphaAct	Gamma	Neta	Current.Reward	Cum.Reward	Neg.Reward	value	preference	choice	Type_choice	Species_choice	Height_choice	Length_choice	redMain_choice	Type_discard	Species_discard	Height_discard	Length_discard	redMain_discard	
0	1	0.01	0.01	0	1	0	0	0	0	0	0	2	NA	0	0	0	2	NA	0	0	0	
0	501	0.01	0.01	0	1	1	273	0	0.0757595	0.03949	0	0	Sp2	79.4401	97.5029	33.761	2	NA	0	0	0	
0	1001	0.01	0.01	0	1	1	540	0	0.024263	0.0451596	0	1	Sp4	28.3683	83.0388	78.4342	2	NA	0	0	0	
0	1501	0.01	0.01	0	1	1	785	0	0.0159612	-8.83666e-05	0	0	Sp3	0	66.9023	91.6993	0	Sp2	78.4572	98.2236	35.3633	
0	2001	0.01	0.01	0	1	1	1060	0	0.232101	0.135262	0	0	Sp2	78.5596	97.742	32.6729	2	NA	0	0	0	
0	2501	0.01	0.01	0	1	1	1307	0	0.064354	-0.105819	1	1	Sp4	27.2062	80.8054	76.4397	2	NA	0	0	0	
0	3001	0.01	0.01	0	1	1	1553	0	0.25569	0.163955	0	0	Sp2	78.2217	96.0461	34.0009	2	NA	0	0	0	
0	3501	0.01	0.01	0	1	0	1797	0	0.269841	-0.181345	0	2	NA	0	0	0	0	Sp4	98.6084	60.2816	73.5988	
0	4001	0.01	0.01	0	1	1	2049	-0.5	0.00493942	-0.00101119	1	0	Sp3	0.969296	67.3769	94.0099	1	Sp1	82.5397	26.0777	65.811	
0	4501	0.01	0.01	0	1	1	2314	0	0.0305661	-0.000465834	1	0	Sp3	1.50365	68.059	92.0451	0	Sp3	0.547682	68.5902	92.8641	
0	5001	0.01	0.01	0	1	0	2595	0	0.386547	0.28654	1	2	NA	0	0	0	0	Sp2	77.8796	97.8448	32.8505	
0	5501	0.01	0.01	0	1	1	2859	0	0.347817	-0.235735	1	0	Sp2	78.8996	95.6793	33.8591	2	NA	0	0	0	
0	6001	0.01	0.01	0	1	1	3113	0	0.344098	0.244973	0	0	Sp3	1.97944	67.8388	92.3397	2	NA	0	0	0	
0	6501	0.01	0.01	0	1	1	3370	0	0.0539037	0.0114965	0	1	Sp3	51.2476	81.9589	1.36003	0	Sp1	15.4457	96.7043	29.9014	
0	7001	0.01	0.01	0	1	1	3629	0	0.426492	0.309885	0	0	Sp3	1.70612	68.9679	92.7263	2	NA	0	0	0	
